Technology,Cost,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GasRange_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFiredWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPGHybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPGHybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-duration storage,Mid,89.73845776,86.89470776,84.05095776,81.20720776,78.36345776,75.51970776,72.67595776,69.83220776,66.98845776,64.14470776,61.30095776,58.45720776,55.61345776,55.29470776,54.97595776,54.65720776,54.33845776,54.01970776,53.70095776,53.38220776,53.06345776,52.74470776,52.42595776,52.10720776,51.78845776,51.46970776,51.15095776,50.83220776,50.51345776,50.19470776,49.87595776,49.55720776,49.23845776
Underground gas storage,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net-zero CH4,Low,76.875,72.94222519,69.00945037,65.07667555,61.14390074,57.21112592,53.27835111,49.34557629,45.41280147,41.48002666,37.54725185,33.61447703,29.68170221,29.22248148,28.76326075,28.30404002,27.84481929,27.38559855,26.92637782,26.46715709,26.00793636,25.54871563,25.08949489,24.63027416,24.17105343,23.7118327,23.25261197,22.79339123,22.3341705,21.87494977,21.41572904,20.95650831,20.49728757
Biomethane,Low,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4,358.4
Net-zero CH4,High,76.875,75.47895291,74.08290582,72.68685873,71.29081165,69.89476455,68.49871747,67.10267038,65.70662329,64.3105762,62.91452911,61.51848202,60.12243493,59.67417147,59.22590801,58.77764455,58.32938109,57.88111762,57.43285416,56.9845907,56.53632724,56.08806378,55.63980032,55.19153685,54.74327339,54.29500993,53.84674647,53.39848301,52.95021955,52.50195608,52.05369262,51.60542916,51.1571657
Biomethane,High,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6,537.6
