GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32
1,1,1,1,1,1,1,1,1,1,1,0.213666,0.308600216,0.213666,0.308600216,0.213666,0.308600216,1,1,0.213666,0.308600216,1,0.213666,0.308600216,1,0.213666,0.308600216,0.213666,0.308600216,1,0.213666,0.213666
1,1,1,1,1,1,1,1,1,1,1,0.150076,0.307952501,0.150076,0.307952501,0.150076,0.307952501,1,1,0.150076,0.307952501,1,0.150076,0.307952501,1,0.150076,0.307952501,0.150076,0.307952501,1,0.150076,0.150076
1,1,1,1,1,1,1,1,1,1,1,0.226739,0.299820079,0.226739,0.299820079,0.226739,0.299820079,1,1,0.226739,0.299820079,1,0.226739,0.299820079,1,0.226739,0.299820079,0.226739,0.299820079,1,0.226739,0.226739
1,1,1,1,1,1,1,1,1,1,1,0.162852,0.295501979,0.162852,0.295501979,0.162852,0.295501979,1,1,0.162852,0.295501979,1,0.162852,0.295501979,1,0.162852,0.295501979,0.162852,0.295501979,1,0.162852,0.162852
1,1,1,1,1,1,1,1,1,1,1,0.151295,0.286649874,0.151295,0.286649874,0.151295,0.286649874,1,1,0.151295,0.286649874,1,0.151295,0.286649874,1,0.151295,0.286649874,0.151295,0.286649874,1,0.151295,0.151295
1,1,1,1,1,1,1,1,1,1,1,0.012454,0.267146456,0.012454,0.267146456,0.012454,0.267146456,1,1,0.012454,0.267146456,1,0.012454,0.267146456,1,0.012454,0.267146456,0.012454,0.267146456,1,0.012454,0.012454
1,1,1,1,1,1,1,1,1,1,1,0,0.269377474,0,0.269377474,0,0.269377474,1,1,0,0.269377474,1,0,0.269377474,1,0,0.269377474,0,0.269377474,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.286937747,0,0.286937747,0,0.286937747,1,1,0,0.286937747,1,0,0.286937747,1,0,0.286937747,0,0.286937747,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.308024469,0,0.308024469,0,0.308024469,1,1,0,0.308024469,1,0,0.308024469,1,0,0.308024469,0,0.308024469,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.326376394,0,0.326376394,0,0.326376394,1,1,0,0.326376394,1,0,0.326376394,1,0,0.326376394,0,0.326376394,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.304066211,0,0.304066211,0,0.304066211,1,1,0,0.304066211,1,0,0.304066211,1,0,0.304066211,0,0.304066211,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.312198633,0,0.312198633,0,0.312198633,1,1,0,0.312198633,1,0,0.312198633,1,0,0.312198633,0,0.312198633,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.320043181,0,0.320043181,0,0.320043181,1,1,0,0.320043181,1,0,0.320043181,1,0,0.320043181,0,0.320043181,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.331270241,0,0.331270241,0,0.331270241,1,1,0,0.331270241,1,0,0.331270241,1,0,0.331270241,0,0.331270241,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.340698093,0,0.340698093,0,0.340698093,1,1,0,0.340698093,1,0,0.340698093,1,0,0.340698093,0,0.340698093,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.362936308,0,0.362936308,0,0.362936308,1,1,0,0.362936308,1,0,0.362936308,1,0,0.362936308,0,0.362936308,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.394458438,0,0.394458438,0,0.394458438,1,1,0,0.394458438,1,0,0.394458438,1,0,0.394458438,0,0.394458438,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.437855344,0,0.437855344,0,0.437855344,1,1,0,0.437855344,1,0,0.437855344,1,0,0.437855344,0,0.437855344,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.445699892,0,0.445699892,0,0.445699892,1,1,0,0.445699892,1,0,0.445699892,1,0,0.445699892,0,0.445699892,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.423461677,0,0.423461677,0,0.423461677,1,1,0,0.423461677,1,0,0.423461677,1,0,0.423461677,0,0.423461677,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.395394027,0,0.395394027,0,0.395394027,1,1,0,0.395394027,1,0,0.395394027,1,0,0.395394027,0,0.395394027,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0.00435599,0.383879093,0.00435599,0.383879093,0.00435599,0.383879093,1,1,0.00435599,0.383879093,1,0.00435599,0.383879093,1,0.00435599,0.383879093,0.00435599,0.383879093,1,0.00435599,0.00435599
1,1,1,1,1,1,1,1,1,1,1,0.271345,0.367902123,0.271345,0.367902123,0.271345,0.367902123,1,1,0.271345,0.367902123,1,0.271345,0.367902123,1,0.271345,0.367902123,0.271345,0.367902123,1,0.271345,0.271345
1,1,1,1,1,1,1,1,1,1,1,0.415999,0.309823678,0.415999,0.309823678,0.415999,0.309823678,1,1,0.415999,0.309823678,1,0.415999,0.309823678,1,0.415999,0.309823678,0.415999,0.309823678,1,0.415999,0.415999
1,1,1,1,1,1,1,1,1,1,1,0.54218,0.279956819,0.54218,0.279956819,0.54218,0.279956819,1,1,0.54218,0.279956819,1,0.54218,0.279956819,1,0.54218,0.279956819,0.54218,0.279956819,1,0.54218,0.54218
1,1,1,1,1,1,1,1,1,1,1,0.468689,0.253040662,0.468689,0.253040662,0.468689,0.253040662,1,1,0.468689,0.253040662,1,0.468689,0.253040662,1,0.468689,0.253040662,0.468689,0.253040662,1,0.468689,0.468689
1,1,1,1,1,1,1,1,1,1,1,0.516495,0.237639439,0.516495,0.237639439,0.516495,0.237639439,1,1,0.516495,0.237639439,1,0.516495,0.237639439,1,0.516495,0.237639439,0.516495,0.237639439,1,0.516495,0.516495
1,1,1,1,1,1,1,1,1,1,1,0.362485,0.219359482,0.362485,0.219359482,0.362485,0.219359482,1,1,0.362485,0.219359482,1,0.362485,0.219359482,1,0.362485,0.219359482,0.362485,0.219359482,1,0.362485,0.362485
1,1,1,1,1,1,1,1,1,1,1,0.174944,0.200287873,0.174944,0.200287873,0.174944,0.200287873,1,1,0.174944,0.200287873,1,0.174944,0.200287873,1,0.174944,0.200287873,0.174944,0.200287873,1,0.174944,0.174944
1,1,1,1,1,1,1,1,1,1,1,0.0104135,0.173875495,0.0104135,0.173875495,0.0104135,0.173875495,1,1,0.0104135,0.173875495,1,0.0104135,0.173875495,1,0.0104135,0.173875495,0.0104135,0.173875495,1,0.0104135,0.0104135
1,1,1,1,1,1,1,1,1,1,1,0,0.16890968,0,0.16890968,0,0.16890968,1,1,0,0.16890968,1,0,0.16890968,1,0,0.16890968,0,0.16890968,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.181935948,0,0.181935948,0,0.181935948,1,1,0,0.181935948,1,0,0.181935948,1,0,0.181935948,0,0.181935948,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.206621087,0,0.206621087,0,0.206621087,1,1,0,0.206621087,1,0,0.206621087,1,0,0.206621087,0,0.206621087,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.2215905,0,0.2215905,0,0.2215905,1,1,0,0.2215905,1,0,0.2215905,1,0,0.2215905,0,0.2215905,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.222094279,0,0.222094279,0,0.222094279,1,1,0,0.222094279,1,0,0.222094279,1,0,0.222094279,0,0.222094279,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.234256927,0,0.234256927,0,0.234256927,1,1,0,0.234256927,1,0,0.234256927,1,0,0.234256927,0,0.234256927,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.248290752,0,0.248290752,0,0.248290752,1,1,0,0.248290752,1,0,0.248290752,1,0,0.248290752,0,0.248290752,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.260669306,0,0.260669306,0,0.260669306,1,1,0,0.260669306,1,0,0.260669306,1,0,0.260669306,0,0.260669306,1,0,0
