Technology,Cost,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ElecHeatPumpWHComm,Mid,24087,23651.88,23543.1,23107.98,22672.86,22237.74,21802.62,21367.5,20932.38,20497.26,20062.14,19627.02,19191.9,18927.72,18663.54,18399.36,18135.18,17871,17606.82,17342.64,17078.46,16814.28,16550.1,16324.77,16099.44,15874.11,15648.78,15423.45,15198.12,14972.79,14747.46,14522.13,14296.8
ElecInduction_Comm,Mid,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GasRange_Comm,Mid,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
LPGHybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPGHybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-duration storage,Mid,2321.35,2272.693333,2224.036667,2175.38,2126.723333,2078.056667,2026.53,1978.853333,1935.166667,1890.91,1848.753333,1807.736667,1765.5,1757.5,1749.2,1740.41,1732.9,1726.05,1718.19,1711.68,1704.82,1697.25,1689.5,1683.34,1675.94,1669.15,1662.33,1656.01,1648.05,1641.27,1634.46,1627.62,1613.16
Underground gas storage,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comm SH,$/kbtu/hr,96,90.5,85,83.8,82.6,81.4,80.2,79,77.8,76.6,75.4,74.2,73,72.2,71.4,70.6,69.8,69,68.2,67.4,66.6,65.8,65,64.5,64,63.5,63,62.5,62,61.5,61,60.5,60
Comm WH,$/kbtu/hr,310,304.4,303,297.4,291.8,286.2,280.6,275,269.4,263.8,258.2,252.6,247,243.6,240.2,236.8,233.4,230,226.6,223.2,219.8,216.4,213,210.1,207.2,204.3,201.4,198.5,195.6,192.7,189.8,186.9,184
Res SH,$/ton,1716,1682,1648,1634.5,1621,1607.5,1594,1580.5,1567,1553.5,1540,1526.5,1513,1499.5,1486,1472.5,1459,1445.5,1432,1418.5,1405,1391.5,1378,1364.4,1350.8,1337.2,1323.6,1310,1296.4,1282.8,1269.2,1255.6,1242
Res WH,$/unit,1990,1820,1650,1636.5,1623,1609.5,1596,1582.5,1569,1555.5,1542,1528.5,1350,1336.5,1323,1309.5,1296,1282.5,1269,1255.5,1242,1228.5,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000
Net-zero CH4,Low,1025,972.5630025,920.1260049,867.6890074,815.2520098,762.8150123,710.3780148,657.9410172,605.5040197,553.0670221,500.6300246,448.1930271,395.7560295,389.6330864,383.5101433,377.3872002,371.2642571,365.141314,359.018371,352.8954279,346.7724848,340.6495417,334.5265986,328.4036555,322.2807124,316.1577693,310.0348262,303.9118831,297.78894,291.6659969,285.5430538,279.4201107,273.2971677
Biomethane,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net-zero CH4,High,1025,1006.386039,987.7720776,969.1581164,950.5441553,931.9301941,913.3162329,894.7022717,876.0883105,857.4743493,838.8603881,820.246427,801.6324658,795.6556196,789.6787735,783.7019273,777.7250811,771.748235,765.7713888,759.7945427,753.8176965,747.8408504,741.8640042,735.8871581,729.9103119,723.9334657,717.9566196,711.9797734,706.0029273,700.0260811,694.049235,688.0723888,682.0955426
Biomethane,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
