1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
124.1242975,50,50,93.09322312,86.88700825,161.3615867,75,211.0113057,217.2175206,248.248595,0,0,200,240.8011371,393.4740231,136.5367272,0,50,235.8361652,50,0,0,0,0
120.8419891,50,50,90.63149183,84.58939238,157.0945858,75,205.4313815,211.4734809,241.6839782,0,0,200,234.4334589,383.0691055,132.926188,0,50,229.5997793,50,0,0,0,0
116.2278587,50,50,87.17089404,81.35950111,151.0962163,75,197.5873598,203.3987528,232.4557174,0,0,200,225.4820459,368.4423122,127.8506446,0,50,220.8329316,50,0,0,0,0
109.9314754,50,50,82.44860655,76.95203278,142.910918,75,186.8835082,192.3800819,219.8629508,0,0,200,213.2670623,348.482777,120.9246229,0,50,208.8698033,50,0,0,0,0
101.7941915,50,50,76.3456436,71.25593402,132.3324489,75,173.0501255,178.1398351,203.5883829,0,0,200,197.4807314,322.6875869,111.9736106,0,50,193.4089638,50,0,0,0,0
94.16642544,50,50,70.62481908,65.91649781,122.4163531,75,160.0829233,164.7912445,188.3328509,0,0,200,182.6828654,298.5075687,103.583068,0,50,178.9162083,50,0,0,0,0
90.0079247,50,50,67.50594352,63.00554729,117.0103021,75,153.013472,157.5138682,180.0158494,0,0,200,174.6153739,285.3251213,99.00871717,0,50,171.0150569,50,0,0,0,0
87.91664568,50,50,65.93748426,61.54165198,114.2916394,75,149.4582977,153.8541299,175.8332914,0,0,200,170.5582926,278.6957668,96.70831025,0,50,167.0416268,50,0,0,0,0
87.58283731,50,50,65.68712798,61.30798612,113.8576885,75,148.8908234,153.2699653,175.1656746,0,0,200,169.9107044,277.6375943,96.34112104,0,50,166.4073909,50,0,0,0,0
88.80219985,50,50,66.60164989,62.16153989,115.4428598,75,150.9637397,155.4038497,177.6043997,0,0,200,172.2762677,281.5029735,97.68241983,0,50,168.7241797,50,0,0,0,0
92.93157343,50,50,69.69868007,65.0521014,120.8110455,75,157.9836748,162.6302535,185.8631469,0,0,200,180.2872525,294.5930878,102.2247308,0,50,176.5699895,50,0,0,0,0
102.0742525,50,50,76.5556894,71.45197677,132.6965283,75,173.5262293,178.6299419,204.1485051,0,0,200,198.0240499,323.5753805,112.2816778,0,50,193.9410798,50,0,0,0,0
113.858859,50,50,85.39414425,79.7012013,148.0165167,75,193.5600603,199.2530033,227.717718,0,0,200,220.8861865,360.932583,125.2447449,0,50,216.3318321,50,0,0,0,0
120.2185557,50,50,90.16391681,84.15298902,156.2841225,75,204.3715448,210.3824726,240.4371115,0,0,200,233.2239981,381.0928217,132.2404113,0,50,228.4152559,50,0,0,0,0
119.2606566,50,50,89.44549244,83.48245962,155.0388536,75,202.7431162,208.706149,238.5213132,0,0,200,231.3656738,378.0562814,131.1867223,0,50,226.5952475,50,0,0,0,0
117.077375,50,50,87.80803126,81.95416251,152.2005875,75,199.0315375,204.8854063,234.15475,0,0,200,227.1301075,371.1352788,128.7851125,0,50,222.4470125,50,0,0,0,0
